t,Z_mpmath,kind,gap,norm_gap
10000000025612.7675781250,-1.728973284912e-02,min,,
10000000025699.2597656250,-6.299236858372e-03,min,,
10000000025718.8769531250,-1.666828049414e-02,min,,
10000000025828.4550781250,-1.729907212519e-02,min,,
10000000025885.3144531250,-1.095121909704e-02,min,,
10000000025893.5449218750,1.814805284167e-02,max,,
10000000026061.1406250000,-1.356520792471e-02,min,,
10000000026063.8691406250,-4.928890220469e-03,min,,
10000000026190.6855468750,-2.286457802876e-03,min,,
10000000026306.0507812500,-1.949341121235e-02,min,,
10000000026332.3378906250,7.236144089685e-03,max,,
10000000026342.6523437500,6.304364056713e-04,max,7.49168914e-03,0.033500
10000000026377.1210937500,7.363985467213e-03,max,,
10000000026480.1542968750,-1.974046120012e-02,min,,
10000000026525.6601562500,1.178325083745e-02,max,,
10000000026671.0468750000,-4.959240643998e-03,min,,
10000000026732.2519531250,1.444660995848e-02,max,,
10000000026805.5000000000,-1.801348039854e-02,min,,
10000000026931.2890625000,1.671405720213e-02,max,,
10000000027077.7949218750,-1.525623500691e-02,min,,
10000000027104.3164062500,1.867088039921e-02,max,,
10000000027248.5878906250,-1.941391465933e-02,min,,
10000000027332.6953125000,-1.732741796638e-02,min,,
10000000027361.8574218750,1.575189718102e-02,max,,
10000000027395.3320312500,-1.988703443739e-02,min,,
10000000027424.7011718750,-1.129736283700e-02,min,,
10000000027448.0859375000,-1.720445478423e-02,min,,
10000000027549.4589843750,8.022156872352e-03,max,,
10000000027594.5566406250,8.383019019135e-04,max,7.84579327e-03,0.035083
10000000027630.9746093750,-9.903844547305e-04,min,,
10000000027650.4042968750,1.010466888681e-02,max,,
10000000027730.0351562500,1.646620535474e-02,max,,
10000000027820.6953125000,-7.333630966685e-03,min,,
10000000027927.5371093750,-3.703389547015e-03,min,,
10000000027939.2539062500,-1.825517489797e-02,min,,
10000000028157.9687500000,6.271475171230e-03,max,,
10000000028275.5175781250,-9.970800149239e-03,min,,
10000000028346.3437500000,3.916372424996e-03,max,,
10000000028377.2304687500,7.963296104905e-03,max,,
10000000028383.9550781250,9.717727247205e-03,max,,
10000000028461.0878906250,-8.224215248426e-03,min,,
10000000028512.5976562500,-1.671890347279e-02,min,,
10000000028527.7402343750,-1.380527301306e-02,min,,
10000000028617.8320312500,-1.050124961654e-02,min,,
10000000028654.8417968750,-7.696061933044e-03,min,,
10000000028728.1660156250,-4.038103839713e-04,min,7.36270180e-03,0.032923
10000000028783.2031250000,-9.863813785911e-03,min,,
10000000028838.1953125000,-1.001569640928e-02,min,,
10000000028838.2558593750,1.193082782699e-02,max,,
10000000028853.6464843750,1.426720213588e-02,max,,
10000000028911.9003906250,-1.676704670730e-02,min,,
10000000028985.5253906250,1.813006273034e-02,max,,
10000000029090.8476562500,-1.657642153585e-02,min,,
10000000029137.8300781250,-1.495828293920e-02,min,,
10000000029255.8476562500,-1.971753160599e-02,min,,
10000000029300.8652343750,6.639138016926e-04,max,4.59733723e-03,0.020557
10000000029345.1210937500,6.352616520632e-03,max,,
10000000029370.9726562500,1.023155230816e-02,max,,
10000000029392.8105468750,1.483020929076e-02,max,,
10000000029489.9726562500,8.109393491026e-03,max,,
10000000029541.1503906250,5.369878773442e-03,max,,
10000000029606.6191406250,-4.132219178560e-03,min,,
10000000029723.8261718750,-4.494369116358e-03,min,,
10000000029735.3808593750,-1.563437245279e-02,min,,
10000000029986.1210937500,1.646737611123e-02,max,,
10000000030021.4296875000,1.333947807605e-02,max,,
10000000030141.9394531250,-7.610401428420e-03,min,,
10000000030151.8574218750,-7.640811605677e-03,min,,
10000000030180.6074218750,1.877452205140e-03,max,,
10000000030186.9218750000,7.482378290163e-03,max,,
10000000030281.7421875000,7.404341343321e-03,max,,
10000000030324.1152343750,-5.104827469226e-03,min,,
10000000030340.1601562500,-1.767538416977e-02,min,,
10000000030359.5273437500,1.828526807721e-02,max,,
10000000030386.7031250000,-2.685557737933e-03,min,,
10000000030406.6777343750,-1.204500414433e-02,min,,
10000000030450.3398437500,9.128507441515e-03,max,,
10000000030523.4921875000,-1.613820901518e-02,min,,
10000000030558.0488281250,-1.575717234020e-02,min,,
10000000030559.2812500000,-4.249656747858e-03,min,,
10000000030714.5156250000,-1.034280285017e-02,min,,
10000000030809.4453125000,-1.123935734280e-02,min,,
10000000030968.7558593750,1.349984804080e-02,max,,
10000000030992.0664062500,1.668478252811e-02,max,,
10000000031001.5957031250,-1.274563863090e-02,min,,
10000000031031.4550781250,1.314321429818e-02,max,,
10000000031158.7500000000,4.999499789988e-04,max,7.04931000e-03,0.031522
10000000031175.1367187500,1.135542350880e-02,max,,
10000000031275.7773437500,-1.200597453272e-02,min,,
10000000031300.7656250000,1.040317431983e-02,max,,
10000000031310.0468750000,1.099731750409e-02,max,,
10000000031382.1191406250,1.066535450334e-02,max,,
10000000031410.7128906250,1.573864415907e-02,max,,
10000000031410.7890625000,-7.440158425310e-03,min,,
10000000031457.3417968750,-6.337443239548e-03,min,,
10000000031519.3515625000,1.365727060236e-02,max,,
10000000031634.7753906250,1.297737228234e-02,max,,
10000000031852.3085937500,-1.847600324966e-02,min,,
10000000031901.5820312500,-1.773805377824e-02,min,,
10000000032078.6269531250,-1.322915467964e-02,min,,
10000000032099.1640625000,-7.060182001730e-03,min,,
10000000032109.4101562500,-1.873588025523e-02,min,,
10000000032127.4785156250,-1.811748481692e-02,min,,
10000000032136.0937500000,1.810646946694e-02,max,,
10000000032179.8847656250,1.647652878429e-02,max,,
10000000032182.9726562500,1.256874467968e-02,max,,
10000000032280.0175781250,-1.088649529257e-02,min,,
10000000032428.2695312500,1.542135179744e-02,max,,
10000000032525.4960937500,-2.718001524092e-03,min,,
10000000032527.9218750000,1.276633989420e-02,max,,
10000000032596.9570312500,-1.408530944353e-02,min,,
